"Location","Location Type","Product","Product Status","Variant","SKU","Variant Active","Available","Reserved","On Hand","Sellable","Safety Stock","Low Stock","Last Updated"
"Ikeja City Mall Store","retail","AuraFlex Cream Active Set","active","Default","","true","2","0","2","2","0","false","2026-04-03T13:54:27.469Z"
"Ikeja City Mall Store","retail","Belt Wrap Dress","active","L / Green","","false","3","0","3","3","0","false","2026-03-02T22:36:00.715Z"
"Ikeja City Mall Store","retail","Freedom Scoop Long Sleeve Crop","active","Default","","true","100","0","100","100","0","false","2026-03-15T07:52:26.138Z"
"Ikeja City Mall Store","retail","Off Shoulder Wrap Top","archived","Default","","false","5","0","5","5","0","false","2026-01-21T12:09:30.463Z"
